0,1,2,3,4,5,6,7,8,9,10,11,12
https://store.steampowered.com/app/3326230/Hozy/?snr=1_7_7_230_150_1&l=english,Hozy,2026-03-30,Come On Studio,"['Casual', 'Indie', 'Simulation']",449 руб.,0%,1,"['Relaxing', 'Cozy', 'Casual', 'Sandbox', 'Puzzle', 'Cute', 'Physics', 'Colorful', 'Immersive Sim', 'Simulation', 'Building', '3D', 'Family Friendly', 'Realistic', 'Indie', 'Singleplayer', 'Stylized', 'Management', 'Wholesome', 'Replay Value']",,,,
https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_230_150_1&l=english,Wallpaper Engine,2018-11-16,Wallpaper Engine Team,"['Casual', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities']",329 руб.,0%,1,"['Mature', 'Utilities', 'Anime', 'Software', 'Design & Illustration', 'Animation & Modeling', 'NSFW', 'First-Person', 'Indie', 'Cute', 'Memes', 'Action', 'Singleplayer', 'Funny', 'Early Access', 'Photo Editing', 'Sandbox', 'Gaming', 'Horror', 'Game Development']",Overwhelmingly Positive,"902,653",Overwhelmingly Positive,"8,413"
https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_230_150_1&l=english,Phasmophobia,2020-09-18,Kinetic Games,"['Action', 'Indie', 'Early Access']",849 руб.,0%,0,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Detective', 'Demons', 'Mystery', 'Thriller', '3D', 'Early Access', 'Indie', 'Action', 'Tactical', 'Singleplayer']",Overwhelmingly Positive,"665,208",Very Positive,"4,309"
https://store.steampowered.com/app/1721470/Poppy_Playtime/?snr=1_7_7_230_150_1&l=english,Poppy Playtime,2021-10-12,Mob Entertainment,"['Action', 'Adventure', 'Indie']",Free To Play,0%,4,"['Horror', 'Singleplayer', 'Free to Play', 'Puzzle', 'First-Person', 'Survival Horror', 'Dark', 'Psychological Horror', 'Mystery', 'Survival', 'Indie', 'Adventure', 'Lore-Rich', 'Atmospheric', 'Thriller', '1980s', 'Action', 'Cartoony', 'Action-Adventure', 'Physics']",Very Positive,"134,064",Very Positive,"10,145"
https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_1&l=english,War Thunder,2013-08-15,Gaijin Entertainment,"['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']",Free To Play,0%,37,"['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'Flight', 'VR', 'World War II', 'War', 'Military', 'Tanks', 'Multiplayer', 'Naval Combat', 'Massively Multiplayer', 'Modern', 'Cold War', 'Action', 'Shooter', 'Realistic', 'Third Person', 'Third-Person Shooter']",Mostly Positive,"733,875",Mostly Positive,"12,603"
https://store.steampowered.com/app/305620/The_Long_Dark/?snr=1_7_7_230_150_1&l=english,The Long Dark,2017-08-01,Hinterland Studio Inc.,"['Adventure', 'Indie', 'Simulation', 'Strategy']",1116 руб.,-90%,4,"['Survival', 'Open World Survival Craft', 'Open World', 'Exploration', 'Atmospheric', 'Singleplayer', 'First-Person', 'Adventure', 'Crafting', 'Sandbox', 'Simulation', 'Post-apocalyptic', 'Indie', 'Walking Simulator', 'Co-op', 'Survival Horror', 'Strategy', 'Difficult', 'Action', 'Early Access']",Very Positive,"105,962",Mixed,"2,490"
https://store.steampowered.com/app/3949040/RV_There_Yet/?snr=1_7_7_230_150_1&l=english,RV There Yet?,2025-10-21,Nuggets Entertainment,"['Action', 'Adventure', 'Indie']",320 руб.,0%,1,"['Multiplayer', 'Co-op', 'Funny', 'Online Co-Op', 'Adventure', 'Physics', 'Driving', 'First-Person', 'Exploration', 'Indie', '3D', 'Atmospheric', 'Offroad', 'Casual', 'Singleplayer', 'Psychological Horror', 'Controller', 'Action', 'Character Customization', 'Stylized']",Very Positive,"63,217",Very Positive,"2,536"
https://store.steampowered.com/app/2300320/Farming_Simulator_25/?snr=1_7_7_230_150_1&l=english,Farming Simulator 25,2024-11-12,GIANTS Software,['Simulation'],10041 руб.,-20%,11,"['Simulation', 'Farming Sim', 'Realistic', 'Multiplayer', '3D', 'First-Person', 'Economy', 'Time Management', 'Building', 'Immersive Sim', 'Third Person', 'Management', 'Atmospheric', 'Relaxing', 'Nature', 'Online Co-Op', 'Farming', 'Physics', 'Singleplayer', 'Moddable']",Very Positive,"33,224",Very Positive,"1,269"
https://store.steampowered.com/app/1149460/ICARUS/?snr=1_7_7_230_150_1&l=english,ICARUS,2021-12-03,RocketWerkz,"['Action', 'Adventure', 'Simulation']",1200 руб.,0%,20,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Base Building', 'Online Co-Op', 'Crafting', 'Open World', 'Exploration', 'Co-op', 'Building', 'PvE', 'First-Person', 'Space', 'Realistic', 'Sandbox', 'Third Person', 'Mining', 'Adventure', 'Nature', 'Science']",Mostly Positive,"50,977",Mostly Positive,"2,201"
https://store.steampowered.com/app/1190970/House_Flipper_2/?snr=1_7_7_230_150_1&l=english,House Flipper 2,2023-12-14,Frozen District,"['Casual', 'Indie', 'Simulation']",1820 руб.,0%,5,"['Simulation', 'Building', 'Co-op', 'Relaxing', 'Design & Illustration', 'Online Co-Op', 'Casual', 'Family Friendly', 'Sandbox', 'Replay Value', 'Destruction', 'Colorful', 'Singleplayer', '3D', 'Base Building', 'Immersive Sim', 'First-Person', 'Education', 'Indie', 'Realistic']",Very Positive,"14,862",Very Positive,362
https://store.steampowered.com/app/2073850/THE_FINALS/?snr=1_7_7_230_150_1&l=english,THE FINALS,2023-12-07,Embark Studios,"['Action', 'Free To Play']",Free To Play,0%,39,"['Destruction', 'Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'PvP', 'Team-Based', 'Competitive', 'Action', 'First-Person', 'Arena Shooter', 'Tactical', 'Character Customization', 'Online Co-Op', 'Co-op', 'Combat', 'Class-Based', 'Atmospheric', 'Realistic', 'Battle Royale']",Mostly Positive,"264,271",Mostly Positive,"2,972"
https://store.steampowered.com/app/3932890/Escape_from_Tarkov/?snr=1_7_7_230_150_1&l=english,Escape from Tarkov,2025-11-15,Battlestate Games,"['Action', 'Massively Multiplayer', 'RPG', 'Simulation']",1800 руб.,0%,7,"['Psychological Horror', 'Extraction Shooter', 'Tactical', 'Shooter', 'Gun Customization', 'Looter Shooter', 'FPS', 'Military', 'First-Person', 'Multiplayer', 'PvE', 'PvP', 'Survival Horror', 'Massively Multiplayer', 'Survival', 'Realistic', 'Action', 'Online Co-Op', 'Simulation', 'War']",Mixed,"43,886",Mixed,"2,340"
https://store.steampowered.com/app/3224770/Umamusume_Pretty_Derby/?snr=1_7_7_230_150_1&l=english,Umamusume: Pretty Derby,2025-06-24,"Cygames, Inc.","['Simulation', 'Sports', 'Free To Play']",Free To Play,0%,0,"['Anime', 'Horses', 'Cute', 'Free to Play', 'Gambling', 'Roguelite', 'Racing', 'Sports', 'Management', 'Simulation', 'Roguelike', 'Funny', 'Visual Novel', '3D', 'Singleplayer', 'PvP', 'Story Rich', 'Dating Sim', 'Emotional', 'Multiplayer']",Very Positive,"54,356",Very Positive,"2,195"
https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_230_150_1&l=english,Black Desert,2019-07-25,Pearl Abyss,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Strategy']",350 руб.,0%,0,"['Sandbox', 'Action RPG', 'Exploration', 'MMORPG', 'War', 'Crafting', 'Medieval', 'PvP', 'First-Person', 'Action-Adventure', 'Open World', 'Character Customization', 'RPG', 'Strategy', '3D', 'Cooking', 'Fantasy', 'Action', 'Magic', 'Cinematic']",Mostly Positive,"61,759",Mixed,477
https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_230_150_1&l=english,Arma Reforger,2023-11-16,Bohemia Interactive,"['Action', 'Simulation', 'Strategy']",2690 руб.,0%,2,"['Military', 'Simulation', 'Shooter', 'Realistic', 'Action', 'FPS', 'Strategy', 'Multiplayer', 'First-Person', 'Sandbox', 'War', 'Real Time Tactics', 'Tactical', 'Open World', 'Third Person', 'PvE', 'PvP', 'Singleplayer', 'Cold War', '1980s']",Mostly Positive,"43,157",Very Positive,"1,832"
